date,value
1992-11-30,4223.41000000
1992-12-31,4289.74000000
1993-01-29,4336.92000000
1993-02-26,4342.87000000
1993-03-31,4444.30000000
1993-04-30,4316.12000000
1993-05-28,4438.55000000
1993-06-30,4449.57000000
1993-07-30,4443.28000000
1993-08-31,4601.55000000
1993-09-30,4601.84000000
1993-10-29,4672.77000000
1993-11-30,4583.82000000
1993-12-31,4657.83000000
1994-01-31,4798.07000000
1994-02-28,4678.39000000
1994-03-31,4457.69000000
1994-04-29,4494.72000000
1994-05-31,4525.52000000
1994-06-30,4395.22000000
1994-07-29,4519.80000000
1994-08-31,4705.97000000
1994-09-30,4605.82000000
1994-10-31,4674.18000000
1994-11-30,4490.58000000
1994-12-30,4540.62000000
1995-01-31,4631.40000000
1995-02-28,4803.91000000
1995-03-31,4920.42000000
1995-04-28,5035.89000000
1995-05-31,5192.80000000
1995-06-30,5348.77000000
1995-07-31,5561.86000000
1995-08-31,5602.28000000
1995-09-29,5806.63000000
1995-10-31,5740.87000000
1995-11-30,5969.99000000
1995-12-29,6057.21000000
1996-01-31,6211.82000000
1996-02-29,6307.25000000
1996-03-29,6365.89000000
1996-04-30,6514.79000000
1996-05-31,6677.35000000
1996-06-28,6612.77000000
1996-07-31,6247.03000000
1996-08-30,6434.03000000
1996-09-30,6765.65000000
1996-10-31,6851.33000000
1996-11-29,7292.16000000
1996-12-31,7198.29000000
1997-01-31,7575.79000000
1997-02-28,7559.42000000
1997-03-31,7213.53000000
1997-04-30,7519.29000000
1997-05-30,8038.50000000
1997-06-30,8396.87000000
1997-07-31,9031.43000000
1997-08-29,8679.98000000
1997-09-30,9180.21000000
1997-10-31,8865.25000000
1997-11-28,9142.43000000
1997-12-31,9298.19000000
1998-01-30,9340.80000000
1998-02-27,10006.44000000
1998-03-31,10494.72000000
1998-04-30,10609.61000000
1998-05-29,10314.18000000
1998-06-30,10663.61000000
1998-07-31,10420.26000000
1998-08-31,8785.71000000
1998-09-30,9346.81000000
1998-10-30,10032.19000000
1998-11-30,10650.20000000
1998-12-31,11317.59000000
1999-01-29,11724.83000000
1999-02-26,11286.08000000
1999-03-31,11707.67000000
1999-04-30,12259.36000000
1999-05-28,11976.75000000
1999-06-30,12583.60000000
1999-07-30,12189.84000000
1999-08-31,12042.23000000
1999-09-30,11713.80000000
1999-10-29,12449.40000000
1999-11-30,12851.93000000
1999-12-31,13812.67000000
2000-01-31,13230.62000000
2000-02-29,13511.00000000
2000-03-31,14296.18000000
2000-04-28,13541.70000000
2000-05-31,13052.96000000
2000-06-30,13618.50000000
2000-07-31,13330.31000000
2000-08-31,14280.04000000
2000-09-29,13613.33000000
2000-10-31,13314.68000000
2000-11-30,11976.24000000
2000-12-29,12175.88000000
2001-01-31,12631.36000000
2001-02-28,11425.29000000
2001-03-30,10645.85000000
2001-04-30,11512.46000000
2001-05-31,11610.22000000
2001-06-29,11407.15000000
2001-07-31,11208.51000000
2001-08-31,10515.09000000
2001-09-28,9562.95000000
2001-10-31,9796.86000000
2001-11-30,10531.45000000
2001-12-31,10707.68000000
2002-01-31,10564.69000000
